PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-01-24,14:30:17.30,1,1,"Morris, Mason",702568,Right,OLE_REB,"Smithwick, Campbell",805802,Left,OLE_REB,Undefined,1,Top,0,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.23727,-0.529595,-1.244425,2567.934994,159.986645,11:15,6.23426,1.34795,5.9477,-32.56254,4.32469,-1.03024,3.02937,0.10767,78.54053,-6.619602,-1.429654,0.437129,,,,,,,,,,,,0.06028,2.8861,-1.24834,50.0,6.17451,2.82037,-127.75283,-2.29931,0.09648,33.9826,-27.55347,OLE_REB,OLE_REB,OleMiss,TeamExclusive,Team,20250124-OleMiss-Private-1,066d9520-da92-11ef-b85e-d3e3e3de1b85,86.22728,,,9.69674,,,,,,,9f37ed59-52ba-46ff-bb60-0f65dc75e700,2025-01-24,20:30:17.30,2025-01-24T14:30:17.3029002-06:00,2025-01-24T20:30:17.3029002Z,,v3,5322,5322,,"Fawley, Austin",701366,Right,OLE_REB,5e87181d-3be7-4060-b445-a073e6c2e978,54.54607,-128.95643,16.9913,6.23866,-1.32342,-13.77674,-1.34817,2.81695,0.04824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-01-24,14:30:37.09,1,2,"Morris, Mason",702568,Right,OLE_REB,"Smithwick, Campbell",805802,Left,OLE_REB,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.88714,-3.148938,-1.950302,2234.685928,216.655598,1:15,6.4401,1.16957,6.03529,-14.53072,16.85021,11.68359,2.30863,0.33651,85.56809,-5.944131,0.151736,0.403185,76.23896,9.89307,-167.136325,1437.661047,,,,109.66003,48.13983,-168.684665,1.123875,-6.67016,10.03599,-1.02365,50.0,6.18616,4.16606,-137.44816,-7.98604,-12.56129,34.89431,-13.2743,OLE_REB,OLE_REB,OleMiss,TeamExclusive,Team,20250124-OleMiss-Private-1,1221f370-da92-11ef-b85e-d3e3e3de1b85,93.48672,6.79306,,9.31905,,,,0.98123,2.13211,-0.28974,9f37ed59-52ba-46ff-bb60-0f65dc75e700,2025-01-24,20:30:37.09,2025-01-24T14:30:37.0935434-06:00,2025-01-24T20:30:37.0935434Z,GroundBall,v3,5322,5322,,"Fawley, Austin",701366,Right,OLE_REB,687e896d-cae7-4bf1-8b36-06e559d40695,54.46414,-138.57685,17.44716,6.43753,-7.55667,-6.63715,-1.16497,4.57236,-6.28064,53.099229,0.92329,-106.67723,9.09748,,,,,,,2.22783,18.04589,-17.88973,,,,,,,-0.34135,-23.88819,4.52686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
3,2025-01-24,14:31:04.18,1,3,"Morris, Mason",702568,Right,OLE_REB,"Smithwick, Campbell",805802,Left,OLE_REB,Undefined,1,Top,0,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.76396,0.958019,0.052998,2649.274988,49.710368,7:45,6.42623,1.4883,4.9837,-45.41939,-5.09689,-7.53044,3.54608,0.91082,77.52816,-7.253056,-1.277759,0.45703,,,,,,,,,,,,3.71008,-2.3313,-1.48711,50.0,6.48172,0.23032,-122.97264,0.24665,5.66514,25.02877,-35.73385,OLE_REB,OLE_REB,OleMiss,TeamExclusive,Team,20250124-OleMiss-Private-1,22510470-da92-11ef-b85e-d3e3e3de1b85,82.47248,,,7.2358,,,,,,,9f37ed59-52ba-46ff-bb60-0f65dc75e700,2025-01-24,20:31:04.18,2025-01-24T14:31:04.1815690-06:00,2025-01-24T20:31:04.1815690Z,,v3,5322,5322,,"Fawley, Austin",701366,Right,OLE_REB,b4639e7d-2a63-47ec-a397-6bb504d6bfad,55.51664,-124.09036,12.51439,6.43507,1.84244,-17.86693,-1.49174,-0.02267,2.83257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-01-24,14:31:25.45,1,4,"Morris, Mason",702568,Right,OLE_REB,"Smithwick, Campbell",805802,Left,OLE_REB,Undefined,1,Top,0,1,2,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.80022,-1.01938,-0.420774,2684.963362,119.684909,10:00,6.35026,1.35473,5.47406,-35.19037,2.35441,-2.12929,2.46366,0.78352,79.91232,-7.446124,-0.800598,0.441008,74.57744,59.350033,-51.303989,5989.432528,44.37242,88.52811,-100.65323,169.45973,86.84469,-66.236319,4.562936,0.96957,1.76709,-1.31622,50.0,6.23644,1.01557,-126.09269,-3.52869,1.56423,25.14236,-29.32321,OLE_REB,OLE_REB,OleMiss,TeamExclusive,Team,20250124-OleMiss-Private-1,2effef60-da92-11ef-b85e-d3e3e3de1b85,85.4689,92.35784,,6.8879,,,,0.93609,2.09517,-0.57198,9f37ed59-52ba-46ff-bb60-0f65dc75e700,2025-01-24,20:31:25.45,2025-01-24T14:31:25.4538890-06:00,2025-01-24T20:31:25.4538890Z,Popup,v3,5322,5322,,"Fawley, Austin",701366,Right,OLE_REB,3cd3b11f-bd21-4916-a432-067ad5a1201d,55.02804,-127.09131,12.57118,6.35346,-2.36402,-14.66161,-1.35533,0.95344,0.78211,145.160552,0.93207,34.88983,-14.98299,4.75531,-0.22385,-0.57383,0.25338,-0.04388,0.00277,2.1103,93.71625,-28.75524,0.50431,2.74966,-1.6377,0.45285,-0.06167,0.00331,-0.58597,-43.20843,-0.77403,3.62285,-2.43091,0.92128,-0.18816,0.01899,-0.00073,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2025-01-24,14:31:53.44,1,5,"Morris, Mason",702568,Right,OLE_REB,"Smithwick, Campbell",805802,Left,OLE_REB,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,95.83432,-2.664914,-1.937407,2346.428039,201.993678,12:45,6.38132,1.07663,6.14691,-9.87768,20.8467,7.95111,3.09246,-0.05174,85.96755,-4.640305,-0.504705,0.398945,76.00526,27.589914,-167.263306,3194.465576,,,,,47.00739,,,-4.75406,11.99009,-0.9331,50.0,6.17312,4.3416,-138.83372,-6.66931,-9.09932,36.68969,-9.22482,OLE_REB,OLE_REB,OleMiss,TeamExclusive,Team,20250124-OleMiss-Private-1,3f9c6830-da92-11ef-b85e-d3e3e3de1b85,94.4803,22.42908,,9.86677,,,,1.72193,3.0927,0.03817,9f37ed59-52ba-46ff-bb60-0f65dc75e700,2025-01-24,20:31:53.44,2025-01-24T14:31:53.4470282-06:00,2025-01-24T20:31:53.4470282Z,,v3,5322,5322,,"Fawley, Austin",701366,Right,OLE_REB,90bd4bf6-e68e-4709-8ca5-d58c51ceb337,54.35105,-139.97886,18.34485,6.37678,-6.38139,-4.61241,-1.07304,4.62561,-4.54966,17.380425,1.72193,-96.36686,7.46615,0.32309,-0.16601,0.08128,-0.02425,0.00865,-0.00279,3.0927,51.62816,-29.21193,3.95663,-0.83748,0.18057,-0.03223,0.00577,-0.00051,0.03817,-21.78207,4.54316,-0.52988,0.09335,-0.00755,-0.00132,0.00189,-0.00095,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
6,2025-01-24,14:32:21.59,1,6,"Morris, Mason",702568,Right,OLE_REB,"Smithwick, Campbell",805802,Left,OLE_REB,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.55051,-4.465561,-2.720637,2366.181877,193.868199,12:30,6.39806,0.90784,6.45403,-10.62556,20.66273,4.80988,1.39713,-1.19266,85.11214,-6.573849,-1.849795,0.402589,,,,,,,,,,,,-3.41752,12.62831,-0.71722,50.0,6.07613,6.29705,-136.73654,-10.90534,-6.35499,35.15782,-8.69117,OLE_REB,OLE_REB,OleMiss,TeamExclusive,Team,20250124-OleMiss-Private-1,505ff100-da92-11ef-b85e-d3e3e3de1b85,93.62503,,,9.43837,,,,,,,9f37ed59-52ba-46ff-bb60-0f65dc75e700,2025-01-24,20:32:21.59,2025-01-24T14:32:21.5991946-06:00,2025-01-24T20:32:21.5991946Z,,v3,5322,5322,,"Fawley, Austin",701366,Right,OLE_REB,cf64b2ec-933c-4130-90f9-addea9467cdf,54.0446,-137.77256,17.57891,6.39372,-10.64924,-4.34558,-0.90554,6.48432,-3.1775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-01-24,14:32:45.14,1,7,"Morris, Mason",702568,Right,OLE_REB,"Smithwick, Campbell",805802,Left,OLE_REB,Undefined,1,Top,0,2,2,ChangeUp,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.41348,-3.890517,-2.51059,2121.325856,230.362778,1:45,6.23766,1.3238,6.18968,-18.92662,16.56647,18.30729,1.05929,0.52986,80.1688,-7.510776,0.793389,0.428789,,,,,,,,,,,,-10.33308,10.32288,-1.14337,50.0,5.93423,4.90869,-129.29966,-9.32746,-17.07584,32.95232,-15.11505,OLE_REB,OLE_REB,OleMiss,TeamExclusive,Team,20250124-OleMiss-Private-1,5e6b37a0-da92-11ef-b85e-d3e3e3de1b85,87.90446,,,9.24467,,,,,,,9f37ed59-52ba-46ff-bb60-0f65dc75e700,2025-01-24,20:32:45.14,2025-01-24T14:32:45.1408522-06:00,2025-01-24T20:32:45.1408522Z,,v3,5322,5322,,"Fawley, Austin",701366,Right,OLE_REB,11ced875-f4de-47c4-9bfd-e8ae8a326305,54.30837,-130.39304,16.47616,6.23539,-8.82593,-7.55752,-1.31564,5.47527,-8.53792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-01-24,14:33:08.53,1,8,"Morris, Mason",702568,Right,OLE_REB,"Smithwick, Campbell",805802,Left,OLE_REB,Undefined,1,Top,0,3,2,Cutter,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,88.37375,-1.686936,-1.718052,2683.34119,115.930241,9:45,6.23554,1.20495,5.59752,-34.04128,2.32512,-2.34303,1.82261,-0.59484,80.86121,-7.920443,-2.136717,0.434032,,,,,,,,,,,,0.68543,2.01996,-1.05609,50.0,6.06876,3.94619,-128.19751,-5.02377,1.13454,27.83886,-28.83066,OLE_REB,OLE_REB,OleMiss,TeamExclusive,Team,20250124-OleMiss-Private-1,6c5e6260-da92-11ef-b85e-d3e3e3de1b85,86.84259,,,7.51253,,,,,,,9f37ed59-52ba-46ff-bb60-0f65dc75e700,2025-01-24,20:33:08.53,2025-01-24T14:33:08.5310000-06:00,2025-01-24T20:33:08.5310000Z,,v3,5322,5322,,"Fawley, Austin",701366,Right,OLE_REB,52e1ba76-9827-4df5-ba83-b793849cdb22,54.90277,-129.25779,13.91943,6.23919,-3.92572,-14.41533,-1.20557,3.90299,0.56727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.37125,,,1.002295,,,,0.20549,6.07627,-3.44029,72.96771,4.84401,-51.8222,0.30979,78.981,-6.42836,6.11857,11.19001,-12.4116,-3.5755,-55.20092,6.98927,High,High,High,,,High,Medium,Medium
9,2025-01-24,14:33:47.01,2,1,"Morris, Mason",702568,Right,OLE_REB,"Utermark, Judd",824607,Right,OLE_REB,Undefined,1,Top,1,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,88.05955,-0.102232,0.509058,2648.36,182.904705,12:00,6.45273,1.17506,5.45245,-32.71986,3.85689,0.13799,3.63036,1.66315,80.69101,-6.104477,0.533643,0.435285,,,,,,,,,,,,0.07165,2.25102,-1.22009,50.0,6.42097,-1.14235,-127.91234,-1.42886,0.11865,26.50604,-28.44643,OLE_REB,OLE_REB,OleMiss,TeamExclusive,Team,20250124-OleMiss-Private-1,834a26d0-da92-11ef-b85e-d3e3e3de1b85,86.59251,,,7.36854,,,,,,,9f37ed59-52ba-46ff-bb60-0f65dc75e700,2025-01-24,20:33:47.01,2025-01-24T14:33:47.0166154-06:00,2025-01-24T20:33:47.0166154Z,,v3,5322,5322,,"Fawley, Austin",701366,Right,OLE_REB,ca8eea83-be04-4261-a6fe-c34257c0709d,55.04995,-128.95454,13.25302,6.45516,-0.31036,-14.22321,-1.17508,-1.14701,0.05933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-01-24,14:34:05.76,2,2,"Morris, Mason",702568,Right,OLE_REB,"Utermark, Judd",824607,Right,OLE_REB,Undefined,1,Top,1,1,0,Cutter,Slider,InPlay,Undefined,FlyBall,Single,0,0,,86.54137,-0.665759,-0.408286,2547.905136,132.863744,10:30,6.32658,1.1029,5.55156,-34.33518,3.35138,-2.36524,2.84316,0.52427,79.53323,-6.959053,-0.830675,0.441839,77.302,27.098869,10.669528,2945.089268,106.50955,42.84586,27.49003,256.34743,254.89341,20.30945,3.559584,1.09055,2.2076,-1.06595,50.0,6.24615,0.99527,-125.71813,-2.69492,1.74768,25.16917,-28.63626,OLE_REB,OLE_REB,OleMiss,TeamExclusive,Team,20250124-OleMiss-Private-1,8e869600-da92-11ef-b85e-d3e3e3de1b85,85.308,45.37656,,7.00813,,,,0.99036,2.85883,-0.52338,9f37ed59-52ba-46ff-bb60-0f65dc75e700,2025-01-24,20:34:05.76,2025-01-24T14:34:05.7673354-06:00,2025-01-24T20:34:05.7673354Z,LineDrive,v3,5322,5322,,"Fawley, Austin",701366,Right,OLE_REB,f07113d6-98d9-49fb-92cb-2341537c64bc,54.94976,-126.70521,12.58459,6.32982,-1.57187,-14.31813,-1.10364,0.92673,0.87384,218.998983,0.9901,99.19178,-16.95288,3.88139,-0.72515,0.10277,-0.0079,-0.00047,0.00012,2.85911,51.63897,-16.95073,1.05976,-0.30858,0.12822,-0.04164,0.00797,-0.00064,-0.52336,18.68599,3.2376,-0.6824,0.13203,-0.02454,0.0037,-0.00024,-1e-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
