Date,playerId,playerFullName,PitchType,Vel,IndVertBrk,HorzBrk,Spin,Extension,RelH (ft),RelS (ft),norm_HorzBrk,norm_RelS,primary_fastball,Vel_primary,IndVertBrk_primary,norm_HorzBrk_primary,vel_diff,ivb_diff,hb_diff,predicted_xPitchRV/P,group_mean,group_std,CLASS+
2025-01-24,702568,"Morris, Mason",FC,88.23727,4.32469,-1.03024,2567.934994,5.9477,6.23426,1.34795,-1.03024,1.34795,4S,93.12808904109589,18.50772917808219,7.4775404109589045,-4.890819041095895,-14.18303917808219,-8.507780410958905,0.016239935310983312,0.01129307469919809,0.007585897596312635,106.52112759100493
2025-01-24,702568,"Morris, Mason",4S,94.88714,16.85021,11.68359,2234.685928,6.03529,6.4401,1.16957,11.68359,1.16957,4S,93.12808904109589,18.50772917808219,7.4775404109589045,1.759050958904112,-1.6575191780821896,4.206049589041096,0.014618130781047116,0.0028173875412249826,0.007336215723822519,116.08560010238273
2025-01-24,702568,"Morris, Mason",SL,84.76396,-5.09689,-7.53044,2649.274988,4.9837,6.42623,1.4883,-7.53044,1.4883,4S,93.12808904109589,18.50772917808219,7.4775404109589045,-8.364129041095893,-23.60461917808219,-15.007980410958904,0.007976927030816039,0.0074131820252190065,0.007873758574086115,100.71597954178125
2025-01-24,702568,"Morris, Mason",FC,86.80022,2.35441,-2.12929,2684.963362,5.47406,6.35026,1.35473,-2.12929,1.35473,4S,93.12808904109589,18.50772917808219,7.4775404109589045,-6.327869041095894,-16.15331917808219,-9.606830410958905,0.015334820400722588,0.01129307469919809,0.007585897596312635,105.32797292635365
2025-01-24,702568,"Morris, Mason",4S,95.83432,20.8467,7.95111,2346.428039,6.14691,6.38132,1.07663,7.95111,1.07663,4S,93.12808904109589,18.50772917808219,7.4775404109589045,2.706230958904115,2.3389708219178083,0.47356958904109536,0.017311129678386758,0.0028173875412249826,0.007336215723822519,119.7564284950032
2025-01-24,702568,"Morris, Mason",4S,94.55051,20.66273,4.80988,2366.181877,6.45403,6.39806,0.90784,4.80988,0.90784,4S,93.12808904109589,18.50772917808219,7.4775404109589045,1.4224209589041124,2.1550008219178096,-2.667660410958905,0.014525165570893141,0.0028173875412249826,0.007336215723822519,115.95887916933806
2025-01-24,702568,"Morris, Mason",CH,89.41348,16.56647,18.30729,2121.325856,6.18968,6.23766,1.3238,18.30729,1.3238,4S,93.12808904109589,18.50772917808219,7.4775404109589045,-3.7146090410958834,-1.9412591780821913,10.829749589041093,-0.0022442452179368953,0.005730213940822945,0.009439826183703717,91.55232415981725
2025-01-24,702568,"Morris, Mason",FC,88.37375,2.32512,-2.34303,2683.34119,5.59752,6.23554,1.20495,-2.34303,1.20495,4S,93.12808904109589,18.50772917808219,7.4775404109589045,-4.754339041095889,-16.18260917808219,-9.820570410958904,0.015334820400722588,0.01129307469919809,0.007585897596312635,105.32797292635365
2025-01-24,702568,"Morris, Mason",FC,88.05955,3.85689,0.13799,2648.36,5.45245,6.45273,1.17506,0.13799,1.17506,4S,93.12808904109589,18.50772917808219,7.4775404109589045,-5.068539041095889,-14.65083917808219,-7.339550410958904,0.01791038431713948,0.01129307469919809,0.007585897596312635,108.72317287957847
2025-01-24,702568,"Morris, Mason",FC,86.54137,3.35138,-2.36524,2547.905136,5.55156,6.32658,1.1029,-2.36524,1.1029,4S,93.12808904109589,18.50772917808219,7.4775404109589045,-6.58671904109589,-15.156349178082191,-9.842780410958905,0.013910860944188315,0.01129307469919809,0.007585897596312635,103.45085892836555
2025-01-24,702568,"Morris, Mason",4S,92.67806,17.64123,9.46083,2290.075539,6.17687,6.33655,1.2874,9.46083,1.2874,4S,93.12808904109589,18.50772917808219,7.4775404109589045,-0.45002904109588826,-0.86649917808219,1.983289589041095,-0.0018525958200599636,0.0028173875412249826,0.007336215723822519,93.63434291317205
2025-01-24,702568,"Morris, Mason",4S,93.23667,19.12407,10.78064,2241.983393,6.3607,6.42882,1.18523,10.78064,1.18523,4S,93.12808904109589,18.50772917808219,7.4775404109589045,0.10858095890411334,0.6163408219178095,3.3030995890410955,-0.0023399875089525094,0.0028173875412249826,0.007336215723822519,92.9699790132531
2025-01-24,702568,"Morris, Mason",4S,93.39773,20.49281,5.51335,2231.207953,6.31285,6.42015,1.1026,5.51335,1.1026,4S,93.12808904109589,18.50772917808219,7.4775404109589045,0.26964095890410533,1.9850808219178084,-1.9641904109589046,0.007101069645536778,0.0028173875412249826,0.007336215723822519,105.83908961455647
2025-01-24,1000119598,"Maddox, Riley",4S,90.98139,19.53277,19.99052,2383.903812,5.81045,5.89112,2.01452,19.99052,2.01452,4S,91.32812636363636,16.61389090909091,13.522706363636363,-0.34673636363635296,2.9188790909090905,6.467813636363637,0.005042171230265707,0.0028173875412249826,0.007336215723822519,103.03260396476115
