PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-01-08,12:58:26.27,1,1,"Morris, Mason",1000110608,Right,OLE_REB,"Sanford, Mitchell",689407,Left,OLE_REB,Undefined,1,Top,0,0,0,Cutter,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,89.16715,0.691466,-0.304315,2665.981948,146.850298,11:00,6.1685,1.21367,6.00817,-29.83021,5.54768,-2.81689,4.32332,0.69699,80.5572,-4.884249,-0.811137,0.428092,,,,,,,,,,,,1.33256,3.03933,-1.18836,50.0,6.20693,0.81009,-129.38031,0.54259,2.23045,30.14775,-27.08683,OLE_REB,OLE_REB,OleMiss,TeamExclusive,Team,20250108-OleMiss-Private-1,8acc9de0-cdf2-11ef-aba5-ebd612b81d8f,88.04743,,,8.60995,,,,,,,d70c0e7e-ea61-4746-905a-1e8f5dc01e13,2025-01-08,18:58:26.27,2025-01-08T12:58:26.2751956-06:00,2025-01-08T18:58:26.2751956Z,,v3,5322.0,5322.0,,,,Undefined,OLE_REB,9c29bb32-dc46-4b1a-967e-655d3565fddc,54.48822,-130.42194,15.07388,6.17201,1.47847,-13.54342,-1.21501,0.73302,1.11523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-01-08,12:58:43.25,1,2,"Morris, Mason",1000110608,Right,OLE_REB,"Sanford, Mitchell",689407,Left,OLE_REB,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,94.60136,-2.135067,-2.495825,2177.229486,201.894947,12:45,6.36587,1.16431,6.44053,-13.22705,17.8841,6.7265,3.29885,-0.57011,85.08397,-4.724951,-1.277627,0.401448,97.99403,46.297534,15.982488,4467.686069,106.14714,118.7732,28.85757,285.06752,285.06752,14.646963,6.309536,-4.34095,10.38241,-0.98985,50.0,6.20797,5.69554,-137.1506,-5.44132,-8.12263,35.32031,-12.74687,OLE_REB,OLE_REB,OleMiss,TeamExclusive,Team,20250108-OleMiss-Private-1,94d4f9e0-cdf2-11ef-aba5-ebd612b81d8f,93.8912,148.39045,,9.51738,,,,0.98054,3.22699,0.57982,d70c0e7e-ea61-4746-905a-1e8f5dc01e13,2025-01-08,18:58:43.25,2025-01-08T12:58:43.2551124-06:00,2025-01-08T18:58:43.2551124Z,FlyBall,v3,5322.0,5322.0,,,,Undefined,OLE_REB,23e12ea0-1bbe-40ba-b976-634ddedbf1f5,54.05811,-138.19174,17.66015,6.36282,-5.06559,-6.37344,-1.16126,5.93497,-4.06132,176.897808,0.98493,95.3602,-28.2416,8.15502,-1.61863,0.2008,-0.01147,-7e-05,2e-05,3.20932,104.19232,-22.28854,1.84247,-0.40897,0.11131,-0.01832,0.00147,-5e-05,0.58053,27.32012,-9.51858,3.02893,-0.68357,0.10698,-0.01041,0.00056,-1e-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
3,2025-01-08,12:59:15.35,2,1,"Morris, Mason",1000110608,Right,OLE_REB,"Moerman, Ryan",802466,Right,OLE_REB,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Double,0,0,,95.15952,-2.212557,-1.093486,2296.191531,200.613168,12:45,6.32,0.92041,6.20697,-13.32426,17.51426,6.17788,3.16604,0.42581,86.01034,-4.797437,0.021849,0.399685,98.79309,28.842186,-23.480828,2610.30304,100.73903,61.58453,-44.17736,337.76782,337.76782,-23.304172,5.265725,-3.54536,10.0876,-0.84132,50.0,6.14705,2.3664,-138.06169,-5.69113,-6.7582,34.29375,-12.945,OLE_REB,OLE_REB,OleMiss,TeamExclusive,Team,20250108-OleMiss-Private-1,a7fc1530-cdf2-11ef-aba5-ebd612b81d8f,94.30527,89.87975,,9.14917,,,,0.61983,3.19479,-0.46252,d70c0e7e-ea61-4746-905a-1e8f5dc01e13,2025-01-08,18:59:15.35,2025-01-08T12:59:15.3589972-06:00,2025-01-08T18:59:15.3589972Z,FlyBall,v3,5322.0,5322.0,,,,Undefined,OLE_REB,3b003d71-8f5e-4554-93c8-18701d18675f,54.29204,-139.12373,17.14687,6.31709,-5.29023,-6.4725,-0.91785,2.5757,-3.3791,178.715776,0.62113,116.38738,-27.38176,6.91395,-1.53438,0.31259,-0.05162,0.00543,-0.00025,3.19671,69.85705,-14.14254,-0.63336,0.64388,-0.26301,0.05987,-0.00699,0.00032,-0.46284,-50.56565,11.5086,-2.75586,0.59544,-0.12283,0.02111,-0.00231,0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2025-01-08,12:59:48.31,3,1,"Morris, Mason",1000110608,Right,OLE_REB,"Humphrey, Isaac",804253,Left,OLE_REB,Undefined,1,Top,1,0,0,Cutter,Cutter,InPlay,Undefined,LineDrive,Single,0,0,,90.1686,-1.038874,-0.729692,2607.559914,159.307315,11:15,6.25378,1.25547,6.02577,-28.69187,5.34276,-1.63185,2.90042,0.44362,82.95557,-6.355356,-1.023605,0.419887,98.13548,13.59647,-17.899733,2871.764236,101.02327,20.07613,-43.52354,224.54337,224.54337,-28.447432,2.262479,0.64622,3.3411,-1.19749,50.0,6.15684,1.73698,-131.07646,-3.36114,1.12794,26.85372,-26.34222,OLE_REB,OLE_REB,OleMiss,TeamExclusive,Team,20250108-OleMiss-Private-1,bbb1b4e0-cdf2-11ef-aba5-ebd612b81d8f,89.76812,20.33499,,7.21303,,,,0.14396,2.77625,-0.4361,d70c0e7e-ea61-4746-905a-1e8f5dc01e13,2025-01-08,18:59:48.31,2025-01-08T12:59:48.3191508-06:00,2025-01-08T18:59:48.3191508Z,LineDrive,v3,5322.0,5322.0,,,,Undefined,OLE_REB,33675a1c-38f0-4e83-a6d1-686314c4b73c,54.47544,-131.99016,13.42686,6.25595,-2.46484,-13.17111,-1.25594,1.6986,0.56397,113.951783,0.14396,133.12648,-32.46524,8.35762,-1.95681,0.41213,-0.07868,0.01135,-0.00082,2.77625,33.83596,-16.72528,0.12368,0.41721,-0.18026,0.04921,-0.00793,0.0006,-0.43609,-42.99835,-6.65708,4.20122,-1.56138,0.45651,-0.10431,0.01588,-0.00116,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-01-08,13:00:19.47,4,1,"Morris, Mason",1000110608,Right,OLE_REB,"Utermark, Judd",1000175519,Right,OLE_REB,Undefined,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.27716,-0.41144,-0.41038,2579.62285,35.751929,7:15,6.35243,1.19687,5.66997,-43.65896,-5.03705,-4.46449,2.33055,0.44219,78.62562,-8.371883,-1.210295,0.447289,,,,,,,,,,,,2.1498,-2.05784,-1.1594,50.0,6.29023,1.07343,-123.93679,-2.47473,3.34822,24.46315,-35.37901,OLE_REB,OLE_REB,OleMiss,TeamExclusive,Team,20250108-OleMiss-Private-1,ce3da1a0-cdf2-11ef-aba5-ebd612b81d8f,84.26867,,,6.65154,,,,,,,d70c0e7e-ea61-4746-905a-1e8f5dc01e13,2025-01-08,19:00:19.47,2025-01-08T13:00:19.4767572-06:00,2025-01-08T19:00:19.4767572Z,,v3,5322.0,5322.0,,,,Undefined,OLE_REB,a4984c96-f36a-4bc7-a0dc-883045a17fff,54.83207,-124.88692,12.23158,6.35966,-1.10063,-17.68951,-1.19856,0.94339,1.67411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-01-08,13:00:36.75,4,2,"Morris, Mason",1000110608,Right,OLE_REB,"Utermark, Judd",1000175519,Right,OLE_REB,Undefined,1,Top,1,0,1,Cutter,Cutter,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.84536,-3.795577,-1.982631,2673.168835,153.67227,11:00,6.37876,1.1189,5.9464,-27.12962,7.67264,-3.11799,0.59005,-0.98068,81.54306,-8.839577,-2.5433,0.424595,,,,,,,,,,,,0.89858,5.67784,-0.95918,50.0,6.06089,4.67852,-131.32676,-9.63448,1.52576,34.99841,-22.53327,OLE_REB,OLE_REB,OleMiss,TeamExclusive,Team,20250108-OleMiss-Private-1,d88f62b0-cdf2-11ef-aba5-ebd612b81d8f,88.77262,,,9.3023,,,,,,,d70c0e7e-ea61-4746-905a-1e8f5dc01e13,2025-01-08,19:00:36.75,2025-01-08T13:00:36.7516372-06:00,2025-01-08T19:00:36.7516372Z,,v3,5322.0,5322.0,,,,Undefined,OLE_REB,e3d54220-17a1-451f-b215-2026f5273fd3,54.55195,-132.53429,17.49921,6.37989,-8.85702,-11.26664,-1.11969,4.62588,0.76288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-01-08,13:00:58.19,4,3,"Morris, Mason",1000110608,Right,OLE_REB,"Utermark, Judd",1000175519,Right,OLE_REB,Undefined,1,Top,1,0,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,95.00253,-2.113611,-2.459814,2426.361009,203.189017,12:45,6.40076,0.99452,6.3094,-15.0065,15.68757,6.27721,3.20043,-0.74982,86.32213,-4.995727,-1.325593,0.398748,,,,,,,,,,,,-3.96126,9.06713,-0.81682,50.0,6.23821,5.64474,-137.80868,-5.5084,-7.57168,32.35425,-14.84282,OLE_REB,OLE_REB,OleMiss,TeamExclusive,Team,20250108-OleMiss-Private-1,e555a630-cdf2-11ef-aba5-ebd612b81d8f,94.52698,,,8.6804,,,,,,,d70c0e7e-ea61-4746-905a-1e8f5dc01e13,2025-01-08,19:00:58.19,2025-01-08T13:00:58.1912276-06:00,2025-01-08T19:00:58.1912276Z,,v3,5322.0,5322.0,,,,Undefined,OLE_REB,d92da1dd-6a22-4af8-8204-59795da98fe3,54.18858,-138.78857,16.17713,6.39823,-5.05886,-7.42141,-0.99125,5.87406,-3.78584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-01-08,13:01:27.20,5,1,"Morris, Mason",1000110608,Right,OLE_REB,"Reuter, Collin",801469,Right,OLE_REB,Undefined,1,Top,2,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.83936,-0.824257,-0.306425,2701.554096,12.395667,6:30,6.40838,1.23103,5.7269,-44.93971,-6.91941,-1.77008,1.89564,0.79811,79.29205,-9.007371,-0.624127,0.443792,,,,,,,,,,,,0.81689,-2.93232,-1.20436,50.0,6.31191,0.74044,-124.77583,-3.42909,1.28987,24.73969,-36.80412,OLE_REB,OLE_REB,OleMiss,TeamExclusive,Team,20250108-OleMiss-Private-1,f69b7e60-cdf2-11ef-aba5-ebd612b81d8f,84.93275,,,6.54731,,,,,,,d70c0e7e-ea61-4746-905a-1e8f5dc01e13,2025-01-08,19:01:27.20,2025-01-08T13:01:27.2053460-06:00,2025-01-08T19:01:27.2053460Z,,v3,5322.0,5322.0,,,,Undefined,OLE_REB,bc589474-f4a4-4832-980a-1a5a36223237,54.77582,-125.71918,12.36985,6.41591,-2.02571,-18.40206,-1.23166,0.69125,0.64493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-01-08,13:01:46.51,5,2,"Morris, Mason",1000110608,Right,OLE_REB,"Reuter, Collin",801469,Right,OLE_REB,Undefined,1,Top,2,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.13604,-2.605147,-1.816865,2348.545419,198.367688,12:30,6.41869,0.93505,6.49083,-14.58253,17.43993,5.39886,2.80895,-0.2836,83.87784,-5.442751,-0.837344,0.407285,89.99064,-39.457607,-77.903229,,,,,4.28206,4.28206,-47.341835,0.034252,-3.43362,10.34044,-0.80984,50.0,6.22927,4.06396,-135.0584,-6.51381,-6.23057,34.24275,-13.41063,OLE_REB,OLE_REB,OleMiss,TeamExclusive,Team,20250108-OleMiss-Private-1,02151da0-cdf3-11ef-aba5-ebd612b81d8f,92.54551,2.88025,,9.2582,,,,2.1683,2.88025,0.27252,d70c0e7e-ea61-4746-905a-1e8f5dc01e13,2025-01-08,19:01:46.51,2025-01-08T13:01:46.5138388-06:00,2025-01-08T19:01:46.5138388Z,GroundBall,v3,5322.0,5322.0,,,,Undefined,OLE_REB,56ef3a07-b2b5-4957-867c-13653b1d289a,54.00809,-136.07082,17.12138,6.41599,-6.11732,-6.70532,-0.93272,4.24817,-3.11529,,2.168,21.40974,,,,,,,,2.88142,-84.09024,,,,,,,,0.27391,-99.895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
10,2025-01-08,13:02:08.94,5,3,"Morris, Mason",1000110608,Right,OLE_REB,"Reuter, Collin",801469,Right,OLE_REB,Undefined,1,Top,2,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.61274,-0.6212,-0.993291,2369.235176,187.056668,12:15,6.46772,0.98954,6.45055,-10.81965,20.79619,2.43453,4.99524,0.27973,84.25566,-2.783221,-0.551867,0.404691,,,,,,,,,,,,-1.56973,11.31134,-0.92007,50.0,6.41807,2.24948,-135.87536,-1.66778,-2.89231,33.77601,-11.33251,OLE_REB,OLE_REB,OleMiss,TeamExclusive,Team,20250108-OleMiss-Private-1,0f730d40-cdf3-11ef-aba5-ebd612b81d8f,93.13877,,,9.35708,,,,,,,d70c0e7e-ea61-4746-905a-1e8f5dc01e13,2025-01-08,19:02:08.94,2025-01-08T13:02:08.9499348-06:00,2025-01-08T19:02:08.9499348Z,,v3,5322.0,5322.0,,,,Undefined,OLE_REB,0df7aaf8-8086-4fea-9307-666308340d1f,54.04481,-136.87713,16.88801,6.46256,-1.33166,-5.66626,-0.98806,2.33526,-1.44615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
